Country,Country Code,Time,Time Code,Access to Clean Fuels and Technologies for cooking (% of total population) [2.1_ACCESS.CFT.TOT],Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM]
Afghanistan,AFG,1990,YR1990,..,..,0.01,52.03697586,1.884112773,764,67.73049645,6312.392,15.92453168,1128,39639.42002
Afghanistan,AFG,1991,YR1991,..,..,0.01,53.80983734,1.995913063,690,67.98029557,6361.651,17.03644353,1015,37341.42628
Afghanistan,AFG,1992,YR1992,..,..,0.01,55.58252335,1.332501747,478,67.9943101,6546.363,26.52162865,703,24683.11085
Afghanistan,AFG,1993,YR1993,..,..,0.01,57.35417938,1.760636542,475,68.34532374,7849.649,30.58566705,695,25664.46888
Afghanistan,AFG,1994,YR1994,..,..,0.01,59.12377548,2.245612996,472,68.70451237,8305.308,32.79625055,687,25323.95582
Afghanistan,AFG,1995,YR1995,..,..,0.01,60.89027786,1.485691936,466,69.03703704,8771.985,35.07564029,675,25008.76656
Afghanistan,AFG,1996,YR1996,..,..,0.01,62.65266037,1.548476916,475,70.37037037,9304.887,37.9457475,675,24521.5541
Afghanistan,AFG,1997,YR1997,..,..,0.01,64.40988922,1.599236643,485,72.3880597,9861.213,41.43260087,670,23800.61303
Afghanistan,AFG,1998,YR1998,..,..,0.021977138,66.16093445,1.648977886,495,74.43609023,10254.29,44.09433685,665,23255.34464
Afghanistan,AFG,1999,YR1999,..,..,0.179634586,67.90476227,1.570681102,505,73.72262774,10765.99,52.18577437,685,20630.12407
Afghanistan,AFG,2000,YR2000,8.8,..,0.959755898,69.64098358,1.686173124,515.7,74.98909408,11301.39,54.24312637,687.7,20834.69512
Afghanistan,AFG,2001,YR2001,9.51,..,0.776536942,71.3717804,1.827398887,503.2,72.81145999,11510.28,54.05505504,691.1,21293.62368
Afghanistan,AFG,2002,YR2002,10.39,..,6.267393589,73.09996796,1.360282562,571,79.0639712,11997.1,43.77114857,722.2,27408.69361
Afghanistan,AFG,2003,YR2003,11.46,..,11.75196648,74.82835388,1.325028253,647,70.24972856,12635.1,42.27614088,976,29887.07043
Afghanistan,AFG,2004,YR2004,12.43,..,17.23631859,76.55976105,1.143996358,565,70.89084065,12869.72,49.8431477,780,25820.43991
Afghanistan,AFG,2005,YR2005,13.49,13,23,74,1.267647242,671,74.06181015,13245.71,40.85917122,906,32417.96054
Afghanistan,AFG,2006,YR2006,14.81,12.54386347,28.2286129,80.04289246,1.408623132,646,70.75575027,14324.37,37.13724949,913,38571.43487
Afghanistan,AFG,2007,YR2007,15.99,18.91622285,33.74868011,81.80025482,1.460937575,684,72,15270.5,33.86257883,950,45095.50226
Afghanistan,AFG,2008,YR2008,17.44,32.5,42.4,89.9,2.147589912,541,68.65482234,15312.85,21.34370808,788,71744.09407
Afghanistan,AFG,2009,YR2009,18.84,31.84515663,44.8548851,85.35450745,2.617060398,775,87.17660292,16854.19,17.81385476,889,94612.81812
Afghanistan,AFG,2010,YR2010,20.68,32.4,42.7,82.8,2.939936558,767,85.98654709,19578.7,14.83980596,892,131933.6658
Afghanistan,AFG,2011,YR2011,22.33,33.38011039,43.22201891,86.56777915,3.755923312,829,82.48756219,20435.21,11.48270623,1005,177965.1033
Afghanistan,AFG,2012,YR2012,24.08,63.8,69.1,95,2.984757176,878,85.90998043,22561.36,13.97358569,1022,161457.1986
Afghanistan,AFG,2013,YR2013,26.17,58.42366743,67.259552,92.5772934,2.751181713,803.9,78.6364081,22073.09,16.33429251,1022.3,135133.4316
Afghanistan,AFG,2014,YR2014,27.99,87.8,89.5,98.7,2.637532569,895.3,85.32354903,24448.73,19.31426861,1049.3,126583.7733
Afghanistan,AFG,2015,YR2015,30.1,64.2,71.5,92.5,2.457705002,889.5,86.05011125,25134.53,18.42347717,1033.7,136426.6353
Afghanistan,AFG,2016,YR2016,32.44,78.96107435,84.13713837,98.038414,..,..,..,..,..,..,..
Albania,ALB,1990,YR1990,..,100,100,100,7.912243196,2848,86.40776699,20429.18,25.51808763,3296,80057.64499
Albania,ALB,1991,YR1991,..,100,100,100,7.866893331,3518,92.14248298,19426.18,32.99817424,3818,58870.4692
Albania,ALB,1992,YR1992,..,100,100,100,6.153274822,3226,95.05008839,20011.42,46.81332881,3394,42747.26987
Albania,ALB,1993,YR1993,..,100,100,100,5.501337309,3314,93.90762256,20083.32,51.1520423,3529,39262.01008
